model,params_b,family,load,k,direct,cot,cib,direct_t1,cot_t1,t1_gain_cot,n
falcon3:10b,10.0,Falcon3,trivial,5,1.0,1.0,0.0,1.0,1.0,0.0,100
falcon3:10b,10.0,Falcon3,semantic_1,5,1.0,0.98,0.020000000000000018,0.9275,0.9425,0.015000000000000013,100
falcon3:10b,10.0,Falcon3,semantic_2,5,1.0,0.97,0.030000000000000027,0.7625,0.78,0.01750000000000007,100
falcon3:10b,10.0,Falcon3,semantic_3,5,1.0,0.99,0.010000000000000009,0.765,0.7925,0.02749999999999997,100
falcon3:10b,10.0,Falcon3,semantic_4,5,0.97,1.0,-0.030000000000000027,0.5325,0.5925,0.06000000000000005,100
falcon3:10b,10.0,Falcon3,(none),1,1.0,1.0,0.0,,,,100
gemma2:2b,2.0,Gemma2,trivial,5,0.98,0.74,0.24,0.9975,0.915,-0.08250000000000002,100
gemma2:2b,2.0,Gemma2,semantic_1,5,0.87,0.45,0.42,0.6375,0.67,0.032500000000000084,100
gemma2:2b,2.0,Gemma2,semantic_2,5,0.89,0.52,0.37,0.57,0.52,-0.04999999999999993,100
gemma2:2b,2.0,Gemma2,semantic_3,5,0.91,0.42,0.49000000000000005,0.3725,0.3325,-0.03999999999999998,100
gemma2:2b,2.0,Gemma2,semantic_4,5,0.85,0.59,0.26,0.4325,0.4825,0.04999999999999999,100
gemma2:2b,2.0,Gemma2,(none),1,0.8282828282828283,0.95,-0.12171717171717167,,,,99
gemma2:9b,9.0,Gemma2,trivial,5,1.0,1.0,0.0,1.0,1.0,0.0,100
gemma2:9b,9.0,Gemma2,semantic_1,5,1.0,1.0,0.0,0.69,0.7175,0.02750000000000008,100
gemma2:9b,9.0,Gemma2,semantic_2,5,1.0,1.0,0.0,0.765,0.6575,-0.10750000000000004,100
gemma2:9b,9.0,Gemma2,semantic_3,5,1.0,0.99,0.010000000000000009,0.6725,0.645,-0.02749999999999997,100
gemma2:9b,9.0,Gemma2,semantic_4,5,1.0,1.0,0.0,0.4675,0.53,0.0625,100
gemma2:9b,9.0,Gemma2,(none),1,1.0,1.0,0.0,,,,100
gemma3:12b,12.0,Gemma3,trivial,5,1.0,1.0,0.0,1.0,0.9975,-0.0024999999999999467,100
gemma3:12b,12.0,Gemma3,semantic_1,5,1.0,1.0,0.0,0.945,0.93,-0.014999999999999902,100
gemma3:12b,12.0,Gemma3,semantic_2,5,1.0,1.0,0.0,0.705,0.81,0.1050000000000001,100
gemma3:12b,12.0,Gemma3,semantic_3,5,1.0,1.0,0.0,0.815,0.7825,-0.03249999999999997,100
