model,regime,LoadCost_report,BlinkScore_report,LoadCost_logp,BlinkScore_logp,gated_n,report_none,report_sem4
gemma2:2b,cot,0.0,0.0,-0.5604958349665233,2.9760773537569545,240,1.0,1.0
gemma2:2b,direct,0.0,0.0,-0.7974411228237238,-0.8435400493394412,240,1.0,1.0
gemma2:9b,cot,0.0,0.0,0.9810788028765202,-2.4686439740545123,225,1.0,1.0
gemma2:9b,direct,0.0,0.0,-1.013452716692976,0.8941638154894251,225,1.0,1.0
gemma3:12b,cot,0.0,0.0,-0.709278135945057,3.8163461684156776,240,1.0,1.0
gemma3:12b,direct,0.0,0.0,-2.299188445003964,0.9886811153385133,240,1.0,1.0
gemma3:1b,cot,0.04563492063492064,0.2142857142857143,-0.9172617881263793,2.124597231019658,174,0.6470588235294118,0.5945945945945946
gemma3:1b,direct,0.033333333333333326,-0.06666666666666665,1.0301344885955703,2.6180548117197864,174,0.9666666666666667,0.9333333333333333
gemma3:270m,cot,,,,,1,,
gemma3:270m,direct,,,,,1,0.0,
gemma3:4b,cot,-0.12222222222222222,0.07962962962962959,-4.98517340999427,-5.873888931298842,238,0.8793103448275862,1.0
gemma3:4b,direct,0.0,0.0,0.16533134791686876,-0.9290905269391783,238,1.0,1.0
