Model   : gemma3:4b
Workers : 8
Trials  : 1800  (temp=0.0, max_tok=1024)
Output  : results/ab_gemma3_4b_N50_t0_s50.csv
Loading model...
Model ready.

  10/1800  30s  (3.02s/trial, 0.33 trial/s)
  20/1800  55s  (2.75s/trial, 0.36 trial/s)
  30/1800  91s  (3.03s/trial, 0.33 trial/s)
  40/1800  116s  (2.89s/trial, 0.35 trial/s)
  50/1800  132s  (2.64s/trial, 0.38 trial/s)
  60/1800  146s  (2.43s/trial, 0.41 trial/s)
  70/1800  157s  (2.24s/trial, 0.45 trial/s)
  80/1800  168s  (2.10s/trial, 0.48 trial/s)
  90/1800  178s  (1.98s/trial, 0.50 trial/s)
  100/1800  190s  (1.90s/trial, 0.53 trial/s)
  110/1800  243s  (2.21s/trial, 0.45 trial/s)
  120/1800  275s  (2.29s/trial, 0.44 trial/s)
  130/1800  306s  (2.35s/trial, 0.43 trial/s)
  140/1800  340s  (2.43s/trial, 0.41 trial/s)
  150/1800  371s  (2.47s/trial, 0.40 trial/s)
  160/1800  382s  (2.39s/trial, 0.42 trial/s)
  170/1800  393s  (2.31s/trial, 0.43 trial/s)
  180/1800  404s  (2.25s/trial, 0.45 trial/s)
  190/1800  415s  (2.19s/trial, 0.46 trial/s)
  200/1800  427s  (2.14s/trial, 0.47 trial/s)
  210/1800  479s  (2.28s/trial, 0.44 trial/s)
  220/1800  510s  (2.32s/trial, 0.43 trial/s)
  230/1800  542s  (2.35s/trial, 0.42 trial/s)
  240/1800  576s  (2.40s/trial, 0.42 trial/s)
  250/1800  607s  (2.43s/trial, 0.41 trial/s)
  260/1800  617s  (2.37s/trial, 0.42 trial/s)
  270/1800  630s  (2.33s/trial, 0.43 trial/s)
  280/1800  643s  (2.30s/trial, 0.44 trial/s)
  290/1800  653s  (2.25s/trial, 0.44 trial/s)
  300/1800  664s  (2.21s/trial, 0.45 trial/s)
  310/1800  702s  (2.26s/trial, 0.44 trial/s)
  320/1800  742s  (2.32s/trial, 0.43 trial/s)
  330/1800  772s  (2.34s/trial, 0.43 trial/s)
  340/1800  804s  (2.36s/trial, 0.42 trial/s)
  350/1800  830s  (2.37s/trial, 0.42 trial/s)
  360/1800  842s  (2.34s/trial, 0.43 trial/s)
  370/1800  854s  (2.31s/trial, 0.43 trial/s)
  380/1800  865s  (2.28s/trial, 0.44 trial/s)
  390/1800  876s  (2.25s/trial, 0.45 trial/s)
  400/1800  886s  (2.22s/trial, 0.45 trial/s)
  410/1800  937s  (2.28s/trial, 0.44 trial/s)
  420/1800  967s  (2.30s/trial, 0.43 trial/s)
  430/1800  999s  (2.32s/trial, 0.43 trial/s)
  440/1800  1032s  (2.35s/trial, 0.43 trial/s)
  450/1800  1061s  (2.36s/trial, 0.42 trial/s)
  460/1800  1073s  (2.33s/trial, 0.43 trial/s)
  470/1800  1085s  (2.31s/trial, 0.43 trial/s)
  480/1800  1095s  (2.28s/trial, 0.44 trial/s)
  490/1800  1107s  (2.26s/trial, 0.44 trial/s)
  500/1800  1118s  (2.24s/trial, 0.45 trial/s)
  510/1800  1169s  (2.29s/trial, 0.44 trial/s)
  520/1800  1201s  (2.31s/trial, 0.43 trial/s)
  530/1800  1232s  (2.33s/trial, 0.43 trial/s)
  540/1800  1269s  (2.35s/trial, 0.43 trial/s)
  550/1800  1297s  (2.36s/trial, 0.42 trial/s)
  560/1800  1308s  (2.34s/trial, 0.43 trial/s)
  570/1800  1320s  (2.32s/trial, 0.43 trial/s)
  580/1800  1332s  (2.30s/trial, 0.44 trial/s)
  590/1800  1343s  (2.28s/trial, 0.44 trial/s)
  600/1800  1353s  (2.26s/trial, 0.44 trial/s)
  610/1800  1400s  (2.29s/trial, 0.44 trial/s)
  620/1800  1429s  (2.30s/trial, 0.43 trial/s)
  630/1800  1461s  (2.32s/trial, 0.43 trial/s)
  640/1800  1492s  (2.33s/trial, 0.43 trial/s)
  650/1800  1518s  (2.34s/trial, 0.43 trial/s)
  660/1800  1532s  (2.32s/trial, 0.43 trial/s)
  670/1800  1542s  (2.30s/trial, 0.43 trial/s)
  680/1800  1552s  (2.28s/trial, 0.44 trial/s)
  690/1800  1563s  (2.26s/trial, 0.44 trial/s)
  700/1800  1575s  (2.25s/trial, 0.44 trial/s)
  710/1800  1625s  (2.29s/trial, 0.44 trial/s)
  720/1800  1655s  (2.30s/trial, 0.44 trial/s)
  730/1800  1685s  (2.31s/trial, 0.43 trial/s)
  740/1800  1716s  (2.32s/trial, 0.43 trial/s)
  750/1800  1746s  (2.33s/trial, 0.43 trial/s)
  760/1800  1760s  (2.32s/trial, 0.43 trial/s)
  770/1800  1770s  (2.30s/trial, 0.43 trial/s)
  780/1800  1783s  (2.29s/trial, 0.44 trial/s)
  790/1800  1794s  (2.27s/trial, 0.44 trial/s)
  800/1800  1805s  (2.26s/trial, 0.44 trial/s)
  810/1800  1856s  (2.29s/trial, 0.44 trial/s)
  820/1800  1888s  (2.30s/trial, 0.43 trial/s)
  830/1800  1920s  (2.31s/trial, 0.43 trial/s)
  840/1800  1951s  (2.32s/trial, 0.43 trial/s)
  850/1800  1980s  (2.33s/trial, 0.43 trial/s)
  860/1800  1994s  (2.32s/trial, 0.43 trial/s)
  870/1800  2006s  (2.31s/trial, 0.43 trial/s)
  880/1800  2017s  (2.29s/trial, 0.44 trial/s)
  890/1800  2030s  (2.28s/trial, 0.44 trial/s)
  900/1800  2039s  (2.27s/trial, 0.44 trial/s)
  910/1800  2084s  (2.29s/trial, 0.44 trial/s)
  920/1800  2116s  (2.30s/trial, 0.43 trial/s)
  930/1800  2146s  (2.31s/trial, 0.43 trial/s)
  940/1800  2176s  (2.31s/trial, 0.43 trial/s)
  950/1800  2205s  (2.32s/trial, 0.43 trial/s)
  960/1800  2217s  (2.31s/trial, 0.43 trial/s)
  970/1800  2226s  (2.30s/trial, 0.44 trial/s)
  980/1800  2240s  (2.29s/trial, 0.44 trial/s)
  990/1800  2250s  (2.27s/trial, 0.44 trial/s)
  1000/1800  2259s  (2.26s/trial, 0.44 trial/s)
  1010/1800  2310s  (2.29s/trial, 0.44 trial/s)
  1020/1800  2339s  (2.29s/trial, 0.44 trial/s)
  1030/1800  2370s  (2.30s/trial, 0.43 trial/s)
  1040/1800  2400s  (2.31s/trial, 0.43 trial/s)
  1050/1800  2430s  (2.31s/trial, 0.43 trial/s)
  1060/1800  2442s  (2.30s/trial, 0.43 trial/s)
  1070/1800  2456s  (2.30s/trial, 0.44 trial/s)
  1080/1800  2467s  (2.28s/trial, 0.44 trial/s)
  1090/1800  2476s  (2.27s/trial, 0.44 trial/s)
  1100/1800  2489s  (2.26s/trial, 0.44 trial/s)
  1110/1800  2539s  (2.29s/trial, 0.44 trial/s)
  1120/1800  2569s  (2.29s/trial, 0.44 trial/s)
  1130/1800  2599s  (2.30s/trial, 0.43 trial/s)
  1140/1800  2632s  (2.31s/trial, 0.43 trial/s)
  1150/1800  2661s  (2.31s/trial, 0.43 trial/s)
  1160/1800  2673s  (2.30s/trial, 0.43 trial/s)
  1170/1800  2685s  (2.29s/trial, 0.44 trial/s)
  1180/1800  2695s  (2.28s/trial, 0.44 trial/s)
  1190/1800  2706s  (2.27s/trial, 0.44 trial/s)
  1200/1800  2716s  (2.26s/trial, 0.44 trial/s)
  1210/1800  2760s  (2.28s/trial, 0.44 trial/s)
  1220/1800  2790s  (2.29s/trial, 0.44 trial/s)
  1230/1800  2820s  (2.29s/trial, 0.44 trial/s)
  1240/1800  2851s  (2.30s/trial, 0.43 trial/s)
  1250/1800  2880s  (2.30s/trial, 0.43 trial/s)
  1260/1800  2892s  (2.30s/trial, 0.44 trial/s)
  1270/1800  2902s  (2.28s/trial, 0.44 trial/s)
  1280/1800  2913s  (2.28s/trial, 0.44 trial/s)
  1290/1800  2925s  (2.27s/trial, 0.44 trial/s)
  1300/1800  2934s  (2.26s/trial, 0.44 trial/s)
  1310/1800  2985s  (2.28s/trial, 0.44 trial/s)
  1320/1800  3012s  (2.28s/trial, 0.44 trial/s)
  1330/1800  3044s  (2.29s/trial, 0.44 trial/s)
  1340/1800  3074s  (2.29s/trial, 0.44 trial/s)
  1350/1800  3104s  (2.30s/trial, 0.43 trial/s)
  1360/1800  3116s  (2.29s/trial, 0.44 trial/s)
  1370/1800  3128s  (2.28s/trial, 0.44 trial/s)
  1380/1800  3140s  (2.28s/trial, 0.44 trial/s)
  1390/1800  3151s  (2.27s/trial, 0.44 trial/s)
  1400/1800  3160s  (2.26s/trial, 0.44 trial/s)
  1410/1800  3211s  (2.28s/trial, 0.44 trial/s)
  1420/1800  3239s  (2.28s/trial, 0.44 trial/s)
  1430/1800  3272s  (2.29s/trial, 0.44 trial/s)
  1440/1800  3303s  (2.29s/trial, 0.44 trial/s)
  1450/1800  3333s  (2.30s/trial, 0.44 trial/s)
  1460/1800  3344s  (2.29s/trial, 0.44 trial/s)
  1470/1800  3355s  (2.28s/trial, 0.44 trial/s)
  1480/1800  3367s  (2.28s/trial, 0.44 trial/s)
  1490/1800  3378s  (2.27s/trial, 0.44 trial/s)
  1500/1800  3387s  (2.26s/trial, 0.44 trial/s)
  1510/1800  3433s  (2.27s/trial, 0.44 trial/s)
  1520/1800  3462s  (2.28s/trial, 0.44 trial/s)
  1530/1800  3491s  (2.28s/trial, 0.44 trial/s)
  1540/1800  3524s  (2.29s/trial, 0.44 trial/s)
  1550/1800  3550s  (2.29s/trial, 0.44 trial/s)
  1560/1800  3562s  (2.28s/trial, 0.44 trial/s)
