Model   : gemma3:4b
Workers : 8
Trials  : 360  (temp=0.0, max_tok=1024)
Output  : results/ab_gemma3_4b_NOEX_t0_s10.csv
Loading model...
Model ready.

  10/360  14s  (1.44s/trial, 0.69 trial/s)
  20/360  27s  (1.34s/trial, 0.75 trial/s)
  30/360  38s  (1.27s/trial, 0.78 trial/s)
  40/360  58s  (1.44s/trial, 0.69 trial/s)
  50/360  80s  (1.60s/trial, 0.63 trial/s)
  60/360  91s  (1.52s/trial, 0.66 trial/s)
  70/360  101s  (1.44s/trial, 0.70 trial/s)
  80/360  110s  (1.38s/trial, 0.73 trial/s)
  90/360  121s  (1.35s/trial, 0.74 trial/s)
  100/360  133s  (1.33s/trial, 0.75 trial/s)
  110/360  159s  (1.45s/trial, 0.69 trial/s)
  120/360  171s  (1.43s/trial, 0.70 trial/s)
  130/360  183s  (1.41s/trial, 0.71 trial/s)
  140/360  194s  (1.39s/trial, 0.72 trial/s)
  150/360  215s  (1.43s/trial, 0.70 trial/s)
  160/360  234s  (1.46s/trial, 0.68 trial/s)
  170/360  260s  (1.53s/trial, 0.65 trial/s)
  180/360  271s  (1.51s/trial, 0.66 trial/s)
  190/360  283s  (1.49s/trial, 0.67 trial/s)
  200/360  295s  (1.47s/trial, 0.68 trial/s)
  210/360  317s  (1.51s/trial, 0.66 trial/s)
  220/360  330s  (1.50s/trial, 0.67 trial/s)
  230/360  359s  (1.56s/trial, 0.64 trial/s)
  240/360  369s  (1.54s/trial, 0.65 trial/s)
  250/360  380s  (1.52s/trial, 0.66 trial/s)
  260/360  391s  (1.51s/trial, 0.66 trial/s)
  270/360  406s  (1.50s/trial, 0.67 trial/s)
  280/360  422s  (1.51s/trial, 0.66 trial/s)
  290/360  450s  (1.55s/trial, 0.64 trial/s)
  300/360  460s  (1.53s/trial, 0.65 trial/s)
  310/360  469s  (1.51s/trial, 0.66 trial/s)
  320/360  479s  (1.50s/trial, 0.67 trial/s)
  330/360  492s  (1.49s/trial, 0.67 trial/s)
  340/360  512s  (1.51s/trial, 0.66 trial/s)
  350/360  534s  (1.52s/trial, 0.66 trial/s)
  360/360  542s  (1.51s/trial, 0.66 trial/s)

Saved 360 rows to results/ab_gemma3_4b_NOEX_t0_s10.csv in 542s (1.51s/trial wall).
